================================================================================
TOP 50 CUDA OPERATIONS (by total GPU time)
================================================================================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::view         0.17%      60.176ms         0.17%      60.176ms       5.081us           0 b           0 b           0 b           0 b         11843  
                                          aten::reshape         0.14%      50.444ms         0.28%     100.594ms      10.910us           0 b           0 b      15.68 Gb           0 b          9220  
                                             aten::add_         0.14%      49.227ms         0.14%      49.227ms      43.953us           0 b           0 b           0 b           0 b          1120  
                                       aten::unique_dim         0.13%      47.550ms         0.17%      60.545ms       1.514ms           0 b           0 b     414.00 Kb    -538.00 Kb            40  
                                     aten::_convolution         0.11%      40.556ms         0.82%     294.652ms     183.014us           0 b           0 b      51.62 Gb           0 b          1610  
                                       aten::clamp_min_         0.11%      40.172ms         0.11%      40.172ms      43.904us           0 b           0 b           0 b           0 b           915  
                                          _Voxelization         0.10%      37.657ms         0.43%     155.429ms       3.886ms           0 b      -1.72 Kb     452.25 Mb      -2.02 Mb            40  
                                           aten::linear         0.10%      34.613ms         0.63%     228.182ms     191.750us           0 b           0 b      14.80 Gb           0 b          1190  
                                           aten::arange         0.09%      33.373ms         0.20%      73.153ms      39.757us      20.26 Mb       2.66 Mb     137.42 Mb           0 b          1840  
                                              aten::bmm         0.09%      33.249ms         0.11%      39.960ms     159.840us           0 b           0 b       7.03 Gb       7.02 Gb           250  
                                aten::native_layer_norm         0.09%      32.490ms         0.14%      49.916ms     138.656us           0 b           0 b       6.03 Gb           0 b           360  
                                            aten::clone         0.08%      29.759ms         0.56%     203.170ms      96.518us     128.84 Mb           0 b      21.78 Gb           0 b          2105  
                                       aten::empty_like         0.08%      29.604ms         0.25%      88.960ms      26.595us     124.64 Mb           0 b      60.42 Gb           0 b          3345  
                                               aten::to         0.07%      26.705ms        27.14%        9.789s       1.042ms     509.02 Mb     453.58 Kb       1.70 Gb       2.40 Mb          9395  
                                          aten::sigmoid         0.07%      24.213ms         0.07%      24.213ms      50.975us           0 b           0 b     242.36 Mb     242.36 Mb           475  
                                      aten::convolution         0.07%      24.144ms         0.88%     318.796ms     198.010us           0 b           0 b      51.62 Gb           0 b          1610  
                                           aten::narrow         0.06%      23.436ms         0.16%      56.382ms      18.700us           0 b           0 b           0 b           0 b          3015  
                                        aten::unsqueeze         0.06%      23.343ms         0.08%      28.493ms      13.472us           0 b           0 b           0 b           0 b          2115  
                                        aten::clamp_min         0.06%      21.800ms         0.06%      21.800ms      49.545us           0 b           0 b     868.73 Mb     868.73 Mb           440  
                                           aten::repeat         0.06%      21.624ms         0.23%      82.887ms     149.346us       1.34 Mb           0 b      10.86 Gb           0 b           555  
                                            aten::clamp         0.06%      20.815ms         0.06%      21.055ms      63.803us           0 b           0 b     352.95 Mb     352.95 Mb           330  
                                          aten::permute         0.05%      19.558ms         0.07%      24.170ms      15.594us           0 b           0 b           0 b           0 b          1550  
                                              aten::eye         0.05%      19.421ms         0.11%      38.208ms      39.512us      37.84 Kb       4.62 Kb           0 b           0 b           967  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 36.073s
